Vend Code | Customer Code | Customer Name | Operator Code
2811 | 16010 (CEP) | Maju Camp, Blk 37 - MINDEF | HIMD
2813 | 15995 (CEP) | Clementi Camp, Blk 3 - MINDEF | HIMD
2815 | 16280 (CFQ2) | Francis Thomas Dr, St Andrew's Secondary School 2 | HIPL
2818 | 16083 (CDR) | Kian Teck Ln, Blue Star Dormitory | HIPL
2819 | 16218 (CFP) | Barker Rd, Anglo-Chinese School (ACS) | HIPL
2820 | 16677 (CDR) | Clover by the park condo | HIPL
2821 | 16049 (CDR) | Micasa Condo | HIPL
2822 | 15914 (CDR) | Bukit Batok East Ave 4 Blk 266, Bukit Batok East Zone 3 RN | HIPL
2823 | 15625 (CDR) | Rosewood Condo | HIPL
2824 | 15985 (CDR) | Boon Lay Way, Kidz Amaze (Jurong SAFRA) | HIPL
2825 | 16126 (CDRH) | Changi Rd, Masjid Kassim | HIPL
2826 | 15750 (CDR) | Euphony Gardens Condo | HIPL
2827 | 15934 | Rio Vista Condo  | HIPL
2828 | 16281 (CDR) | Tanamera Crest Condo Walls | HIPL
2829 | 15943 (CDR) | Edelweiss Park Condo (Lower Deck) | HIPL
2830 | 15611 (CDR) | Tuas Bay Lane, Novartis Tuas | HIPL
2831 | 16741 (UFI) | Eco Sanctuary Condo | HIPL
2832 | 16720 (CEP) | Bukit Canberra Swimming Complex ActiveSG | HIPL
2833 | 16781 (CEP) | Star Ave, Mediacorp | HIPL
2834 | 16109 (CEP) | Bedok Camp 2, Blk 102 Lvl 2 - MINDEF (Appt.) | HIMD
2835 | 15786 (CEP) | Anchorvale Rd, Sengkang ActiveSG (Swimming Pool) | HIPL
2836 | 16050 (CEP) | Pasir Laba Camp, Blk 120 Lvl 2 - MINDEF | HIMD
2837 | 16264 (CEP) | Harding Rd Blk 10A, The Cage Dempsey | HIPL
2838 | 16061 (CEP) | Sungei Gedong Camp, Bus Waiting Area - MINDEF | HIMD
2839 | 15235 (CEP) | Jurong West St 93, ActiveSG Jurong West (Swimming Pool, Lvl 2) | HIPL
2839 | 16078 (CEP) | Bencoolen St, Nafa Campus 3 | HIPL
